"text","likes","comments","shares"
"“Numbers dropped by around half after the earthquake.” As inevitably as the tourists departed, they returned to Morocco’s most visited city of Marrakesh aje.io/zognmc","303","15","5"
"This exclusive footage obtained by Al Jazeera shows the extent of the destruction of a residential area in the Sheikh Radwan neighbourhood, northwest of Gaza City.","809","174","81"
"The disappearance of 6-year-old Joshlin Smith has made national headlines across South Africa, with the child's mother charged with kidnapping and trafficking her daughter ⤵️","236","75","33"
"Millions are still suffering the pandemic’s lingering effects of Long COVID. Experts warn that it could be the world’s next public health crisis, so why is the condition still so poorly understood?","87","11","11"
"Multan Sultans face Peshawar Zalmi in the Pakistan Super League (PSL) qualifier in Karachi at the National Bank Cricket Arena.
🏏 Follow our LIVE coverage here 👇","522","71","5"
"The International Energy Agency says global oil demand to grow amid Red Sea shipping disruptions.","267","84","33"
"Leader Kim Jong Un has joined North Korean soldiers training in operating a new battle tank, according to state media.","568","278","38"
"Carlos Belo is a Nobel Peace Prize winner and former leader of East Timor’s Catholic Church. But he’s also at the centre of a child sexual abuse scandal. Watch: aje.io/priestscandals","91","25","16"
"The Israeli army has admitted mistaking a bicycle for a rocket-propelled grenade launcher, in the killing of two Palestinians in Gaza. In a video of the attack, the Israeli military labelled the bike as an RPG.","620","325","195"
"Why has the US passed a bill to ban TikTok, and what’s next?","239","194","37"
"UNIFIL investigation finds Israeli tank killed Reuters reporter Issam Abdallah and wounded several others in October.","313","112","54"
"‘Death trap’ Israeli forces have shot dead at least six Palestinians and wounded 83 in Gaza City as they were waiting for food and humanitarian supplies at the Kuwait Roundabout.","714","352","172"
"A group of displaced Palestinian children facing extreme hunger in Gaza banged on empty plates to protest their lack of food during Ramadan in the bombed and besieged enclave.","1113","198","202"
"🔴 Norway warns its companies against doing any business and trade dealings with illegal Israeli settlements, warning of repercussions for violating international law. LIVE updates: http://aje.io/9zqwn7","876","204","106"
"Three Egyptian Coptic Orthodox monks have been stabbed to death in a monastery in South Africa ⤵️","365","274","29"
"81% of hate speech from public officials in India since Modi took office comes from members of the ruling BJP. Will it affect the upcoming election?

Watch the India Report with @SreenivasanJain
➡️ aje.io/lqungp

Featuring Asaduddin Owaisi, Uma Bharti & Hartosh Singh Bal.","437","85","118"
"Is the race for ‘clean’ electric vehicles destroying communities?","101","17","9"
"“I totally disagree with Netanyahu,” former head of Israel's internal security services, Ami Ayalon, tells #AJEUpFront host Marc Lamont Hill about Netanyahu’s refusal to consider a two state solution. 

🔗 Watch full show: https://youtu.be/9zrC2fn9JaY","206","72","36"
"🔴 The Yemen-based Houthis have successfully tested a hypersonic missile, according to Russian state media RIA Novosti, quoting a military source close to the group. LIVE updates ⤵️","585","253","61"
"🔴 Delta Air Lines has announced that it will resume direct flights to Israel starting June 6, becoming the second US airline to reverse suspensions put in place. LIVE updates: http://aje.io/9zqwn7","366","141","17"
"An Israeli strike has killed five Palestinians and injured 22 after it hit a UN aid distribution centre in Rafah.","355","144","68"
"At least two Indian men have been killed on the Russian front lines, revealing the desperation caused by widespread joblessness back home.","673","496","48"
"Six people were on the fishing vessel near the Taiwan-controlled islands, which lie just a few kilometres off China’s eastern coast.","193","40","9"
"The country scaled back its military capabilities after the Cold War ended, but is reassessing the situation in a changed security climate.","268","44","19"
"With Laos as chair, the 10 members of ASEAN appear to be becoming more accommodative of reviled military regime.","159","8","6"
"Several acts scheduled for the US's South by Southwest (SXSW) festival have withdrawn in protest against sponsors with ties to Israel’s war on Gaza aje.io/rqk1uo","838","108","61"
"From Israeli raids in the occupied West Bank to Biden and Trump set for a US election rematch after clinching their respective parties’ nominations, here are your daily #AJNewsUpdates ⤵️

For more, subscribe and listen on all podcast platforms 🎧","129","22","18"
"🔴 Palestinians in Gaza observe Ramadan amid worsening hunger. LIVE updates: aje.io/9zqwn7","670","128","110"
"Folk music revolutionary Zakaria Ibrahim witnessed the rise, fall, and resurgence of simsimiyya music in his hometown of Port Said, including its revival during the Egyptian revolution aje.io/1fpmsp","300","9","12"
"🔴 “We are trying to flood the area, to flood it with humanitarian aid.” IDF spokesperson Daniel Hagari says Israel plans to increase humanitarian aid into Gaza through various routes amid mounting global pressure over a looming famine.LIVE updates: aje.io/9zqwn7","522","291","31"
"Senegalese voters head to the polls on March 24 to choose from 19 candidates in the race to replace President Macky Sall, amidst ongoing concerns over weeks of turmoil and deadly protests aje.io/dznlnn","145","11","17"
"An Israeli drone strike has killed a member of Hamas and one other person in southwestern Lebanon near a refugee camp housing forcibly displaced Palestinians.","1203","254","128"
"As the war enters its 750th day, these are the main developments.","125","4","24"
"🔴 US Secretary of State Antony Blinken told reporters he hadn't yet received details on the deadly Israeli attack on UNRWA's aid centre in Rafah but stressed Israel must ensure safety for humanitarian workers. LIVE updates: aje.io/9zqwn7","485","257","43"
"🔴 Israeli forces have killed at least six Palestinians and injured 83 in their latest attack on Palestinians awaiting humanitarian aid at the Kuwait Roundabout in Gaza City. LIVE updates: aje.io/9zqwn7","498","206","120"
"🔴 At least five Palestinians were killed and 22 wounded in an Israeli attack on a UN food distribution centre in southern Rafah, where hundreds of thousands are facing hunger. Follow our LIVE coverage: http://aje.io/9zqwn7","369","113","89"
"🔴 Israel claims its airstrike on a UN food distribution center in southern Gaza killed a Hamas commander after the UN reported one staff member killed and 22 wounded.LIVE updates: http://aje.io/thtmej","642","336","85"
"The US says it has held talks with a number of countries, as well as the UN, to establish a maritime corridor for getting humanitarian aid into Gaza that could provide up to 2 million meals per day.","460","236","59"
"🔴 DEVELOPING: Israeli forces opened fire at nine Palestinians awaiting aid distribution at the Kuwaiti roundabout in southern Gaza City. LIVE updates: aje.io/thtmej","620","201","83"
"A UNRWA report details extensive use of torture against Palestinians, including 21 UNRWA staff members and 15 family members, by Israeli forces in Gaza aje.io/z0ge2t","290","83","92"
"Emissions of greenhouse gas responsible for a third of global warming ‘unacceptably high’, says energy watchdog.","129","20","17"
"Expected wins at Georgia, Mississippi and Washington give each contender the delegate count needed to claim nomination at party convention.","175","64","11"
"At least 80 acts and speakers have dropped out of the Texas event as part of a boycott against US weapons companies.","398","91","37"
"Haitian armed groups have grown more autonomous, experts say, and force alone will not resolve the growing security crisis. Here's what you need to know http://aje.io/jg4nyk","240","50","19"
"🔴 Israel’s parliament has adopted a revised budget for 2024, potentially allocating $15.1 billion to the military, allowing for increased spending to finance the ongoing war on Gaza, now in its sixth month.LIVE updates: http://aje.io/thtmej","500","278","36"
"Europe moves closer to adopting world’s first AI rules as EU lawmakers endorse provisional agreement.","87","5","6"
"Haitian armed groups have grown more autonomous, experts say, and force alone will not resolve the growing security crisis.","147","43","9"
"Al Jazeera spoke to several released detainees about their ordeals in Israeli holding facilities.","303","143","84"
"","556","284","32"
"Bangladesh hosts more than a million Rohingya people, many of whom fled a 2017 military crackdown in Myanmar.","173","70","16"
"The move provides a welcome boost for Kyiv as support from its other major backer, the United States, wavers and its outgunned forces struggle to hold back Russia.","320","126","14"
"After weeks of turmoil and deadly protests, outgoing President Macky Sall sets elections for March 24.","124","9","6"
"Plans are separate from the ‘Rwanda bill’, a stalled plan to forcibly deport most asylum seekers to the African country.","140","24","8"
"Research group finds Israel’s dishonest use of ‘humanitarian protective measures’ resulted in killing of more Palestinians.","244","80","43"
"How Mahmoud Darwish’s poems are ever relevant to the conditions of Palestinians, particularly now in the besieged Gaza Strip aje.io/ywmvpp","459","77","56"
"At least one UN staff member has been killed and another 22 injured in an Israeli attack on a UN aid distribution centre in Rafah.","431","160","191"
"UNRWA says a warehouse in Rafah used ‘to distribute much-needed food and other lifesaving items to displaced [Palestinians]’ was hit by Israeli attacks as famine looms in Gaza — in pictures aje.io/ht1iqz","575","247","141"
"Russian President Vladimir Putin has said his country’s nuclear capabilities are superior to that of the US, and that they are always in a state of combat readiness.","3131","740","168"
"A former aide to the late Russian opposition leader Alexey Navalny has pledged to continue protesting against President Putin after being attacked with a hammer outside his home in Lithuania.","227","51","11"
"A 13-year-old Palestinian boy who was setting off fireworks has been shot dead by an Israeli soldier in occupied East Jerusalem ⤵️","1081","549","323"
"""Rohit is a special person."" Ravichandran Ashwin recalls the events that led to his departure and return during the third Test match against England when his mother was ill aje.io/x9m6ry","325","57","21"
"“The [Israeli] authorities there are committed to the poisonous racist ideology of Zionism which at its core, holds Arabs, Muslims and Palestinians to be less than human and innately evil.” - Hasan, Palestinian citizen of Israel.","438","203","54"
"There have been protests in India after the government implemented a new citizenship law that discriminates against Muslim refugees, weeks before national elections ⤵️","2150","268","239"
"🔴 The number of people killed in Israeli attacks on Gaza since the start of the war has risen to 31,272, according to the latest figures by the Health Ministry. LIVE updates: aje.io/o0lnu8","505","193","193"
"President Vladimir Putin has warned that Russia is 'ready' to use nuclear weapons if there is a threat to its statehood.","1269","894","86"
"We compare and contrast Republican Congresswoman Nancy Mace endorsement of Donald Trump given her previous attack on the former US president.","178","13","24"
"🔴 The Palestinian Ministry of Foreign Affairs says Israeli executions are further proof that Israel wants to escalate tensions during the holy month of Ramadan. LIVE updates: http://aje.io/o0lnu8","493","263","66"
"Why was Israel forced to change its song entry for Eurovision?","149","142","11"
"“There is only one way to make UNRWA disappear. Making those refugees citizens of a Palestinian state.” EU’s foreign affairs chief Josep Borrell tells the UN Security Council that a two-state solution is the only way to end a need for UNRWA.","684","144","119"
