"text","likes","comments","shares"
"Queen Camilla was given a miniature version of herself - in Barbie form. Read more: https://bbc.in/43x7U9H","577","228","50"
"The study found females of five ""menopausal"" whale species lived about four decades longer than other toothed whales.","174","18","52"
"The Ivy League university is named after Elihu Yale, a colonialist who plundered India and traded in slaves.","116","59","44"
"When the law passed in 2019, it sparked mass protests in which scores of people died and many more were arrested.","133","56","16"
"Freedom Village is located inside Korea's DMZ, and its 138 residents are guarded by over 800 soldiers.","117","18","26"
"The area they were in was hit with more than six months' worth of rain in 24 hours.","309","30","23"
"A post-mortem examination will determine the couple's cause of death.","202","31","23"
"""He didn't get to have his third act, and that's not fair.""","330","44","18"
"Some customers who had not received their weekly discounts said they were ""disgusted"" and planned to shop elsewhere.","157","96","12"
"The plans include parking.","308","125","28"
"Aya Nakamura is the most listened-to French female singer in the world.","305","241","33"
"A Chinese foreign ministry spokesperson accused the US of ""suppressing TikTok"" and ""bullying behaviour"".","244","160","35"
"The judge ruled six charges against the former US President and some of his co-defendants lacked detail.","386","335","38"
"""Surprisingly, I've only cried twice.""","458","70","27"
"The 59-year-old carried his parents to safety before collapsing from smoke inhalation.","861","85","63"
"Paul Alexander, known as ""the man in the iron lung"" has died aged 78. Read more: https://bbc.in/3wZGUDe","17816","1304","1654"
"""Paul was an incredible role model.""","3573","367","449"
"""You've got to stand up for yourself when someone tries to throw you under the bus.""","409","332","24"
"""How difficult is it to bake a potato?""","234","143","37"
"""You've taken about 50 years off my life.""","2355","1215","130"
"""It's like starting all over again.""","447","160","43"
"""Those who know me personally know I do live cheek by jowl.""","1022","138","52"
"Giant redwoods were first brought to the UK 160 years ago.","713","135","106"
"The explosion left a large plume of smoke and sent fiery debris flying.","181","37","23"
"Both have clinched their party nominations.","540","525","80"
"""It's a hell of a lot of money.""","197","146","54"
"Residents were falsely promised they could live in mobile homes all year round on holiday parks, the BBC has found.","287","179","38"
"Fairer devices need to be designed urgently, the report said.","376","190","60"
